Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Target,IRT
Human,10,1,1,1,Visual,DRL,5,9.273354053
Human,10,1,1,2,Visual,DRL,5,19.01346397
Human,10,1,1,3,Visual,DRL,5,7.072049141
Human,10,1,1,4,Visual,DRL,5,6.552125931
Human,10,1,1,5,Visual,DRL,5,6.348575115
Human,10,1,1,6,Visual,DRL,5,6.281527996
Human,10,1,1,7,Visual,DRL,5,6.619356871
Human,10,1,1,8,Visual,DRL,5,6.658034086
Human,10,1,1,9,Visual,DRL,5,6.100404978
Human,10,1,1,10,Visual,DRL,5,5.627424002
Human,10,1,1,11,Visual,DRL,5,5.445373058
Human,10,1,1,12,Visual,DRL,5,6.285470009
Human,10,1,1,13,Visual,DRL,5,5.264689922
Human,10,1,1,14,Visual,DRL,5,5.340578079
Human,10,1,1,15,Visual,DRL,5,6.36385417
Human,10,1,1,16,Visual,DRL,5,5.279551029
Human,10,1,1,17,Visual,DRL,5,5.707677126
Human,10,1,1,18,Visual,DRL,5,6.130017042
Human,10,1,1,19,Visual,DRL,5,6.448480844
Human,10,1,1,20,Visual,DRL,5,6.12067008
Human,10,1,1,21,Visual,DRL,5,9.198962927
Human,10,1,1,22,Visual,DRL,5,6.739735126
Human,10,1,1,23,Visual,DRL,5,6.728639126
Human,10,1,1,24,Visual,DRL,5,6.256684065
Human,10,1,1,25,Visual,DRL,5,5.872193098
Human,10,1,1,26,Visual,DRL,5,5.677564144
Human,10,1,1,27,Visual,DRL,5,5.561752081
Human,10,1,1,28,Visual,DRL,5,5.45229888
Human,10,1,1,29,Visual,DRL,5,6.034463882
Human,10,1,1,30,Visual,DRL,5,6.028119087
Human,10,1,1,31,Visual,DRL,5,6.508594036
Human,10,1,1,32,Visual,DRL,5,5.932058096
Human,10,1,1,33,Visual,DRL,5,5.674319029
Human,10,1,1,34,Visual,DRL,5,5.733414888
Human,10,1,1,35,Visual,DRL,5,5.823729992
Human,10,1,1,36,Visual,DRL,5,5.41987896
Human,10,1,1,37,Visual,DRL,5,5.177546024
Human,10,1,1,38,Visual,DRL,5,6.45369792
Human,10,1,1,39,Visual,DRL,5,6.57212019
Human,10,1,1,40,Visual,DRL,5,6.190611124
Human,10,1,1,41,Visual,DRL,5,6.362957001
Human,10,1,1,42,Visual,DRL,5,6.353585005
Human,10,1,1,43,Visual,DRL,5,5.959495068
Human,10,1,1,44,Visual,DRL,5,5.983292818
Human,10,1,1,45,Visual,DRL,5,5.924452782
Human,10,1,1,46,Visual,DRL,5,5.93847084
Human,10,1,2,1,Visual,DRL,5,6.518794775
Human,10,1,2,2,Visual,DRL,5,6.262087107
Human,10,1,2,3,Visual,DRL,5,6.31998682
Human,10,1,2,4,Visual,DRL,5,5.615283966
Human,10,1,2,5,Visual,DRL,5,5.713302851
Human,10,1,2,6,Visual,DRL,5,5.966216087
Human,10,1,2,7,Visual,DRL,5,5.510182142
Human,10,1,2,8,Visual,DRL,5,6.047527075
Human,10,1,2,9,Visual,DRL,5,5.537412167
Human,10,1,2,10,Visual,DRL,5,5.800373077
Human,10,1,2,11,Visual,DRL,5,5.62142396
Human,10,1,2,12,Visual,DRL,5,5.936929226
Human,10,1,2,13,Visual,DRL,5,5.557858229
Human,10,1,2,14,Visual,DRL,5,5.736227989
Human,10,1,2,15,Visual,DRL,5,5.77777195
Human,10,1,2,16,Visual,DRL,5,5.850003958
Human,10,1,2,17,Visual,DRL,5,5.671973944
Human,10,1,2,18,Visual,DRL,5,5.733963966
Human,10,1,2,19,Visual,DRL,5,5.658751965
Human,10,1,2,20,Visual,DRL,5,5.696869135
Human,10,1,2,21,Visual,DRL,5,5.873412132
Human,10,1,2,22,Visual,DRL,5,5.370296955
Human,10,1,2,23,Visual,DRL,5,5.609560966
Human,10,1,2,24,Visual,DRL,5,5.628283978
Human,10,1,2,25,Visual,DRL,5,5.638550997
Human,10,1,2,26,Visual,DRL,5,5.597546816
Human,10,1,2,27,Visual,DRL,5,5.763664007
Human,10,1,2,28,Visual,DRL,5,5.695623159
Human,10,1,2,29,Visual,DRL,5,5.621464968
Human,10,1,2,30,Visual,DRL,5,5.680897951
Human,10,1,2,31,Visual,DRL,5,5.736413956
Human,10,1,2,32,Visual,DRL,5,5.971436977
Human,10,1,2,33,Visual,DRL,5,5.387388945
Human,10,1,2,34,Visual,DRL,5,5.956105947
Human,10,1,2,35,Visual,DRL,5,7.269593954
Human,10,1,2,36,Visual,DRL,5,5.882786989
Human,10,1,2,37,Visual,DRL,5,5.841421127
Human,10,1,2,38,Visual,DRL,5,5.581777096
Human,10,1,2,39,Visual,DRL,5,5.648998022
Human,10,1,2,40,Visual,DRL,5,5.843292952
Human,10,1,2,41,Visual,DRL,5,5.82725811
Human,10,1,2,42,Visual,DRL,5,5.423431873
Human,10,1,2,43,Visual,DRL,5,5.795423031
Human,10,1,2,44,Visual,DRL,5,5.741554976
Human,10,1,2,45,Visual,DRL,5,5.561322927
Human,10,1,2,46,Visual,DRL,5,5.65772891
Human,10,1,2,47,Visual,DRL,5,5.688436031
Human,10,1,2,48,Visual,DRL,5,5.720201969
Human,10,1,2,49,Visual,DRL,5,5.696986914
Human,10,1,2,50,Visual,DRL,5,5.735305786
Human,10,1,3,1,Visual,DRL,5,7.762456894
Human,10,1,3,2,Visual,DRL,5,5.829243183
Human,10,1,3,3,Visual,DRL,5,5.5514009
Human,10,1,3,4,Visual,DRL,5,5.734256983
Human,10,1,3,5,Visual,DRL,5,5.786808014
Human,10,1,3,6,Visual,DRL,5,5.64988184
Human,10,1,3,7,Visual,DRL,5,5.697941065
Human,10,1,3,8,Visual,DRL,5,5.779870987
Human,10,1,3,9,Visual,DRL,5,5.675080061
Human,10,1,3,10,Visual,DRL,5,5.721255064
Human,10,1,3,11,Visual,DRL,5,5.765084982
Human,10,1,3,12,Visual,DRL,5,5.689712048
Human,10,1,3,13,Visual,DRL,5,5.745521069
Human,10,1,3,14,Visual,DRL,5,5.700126886
Human,10,1,3,15,Visual,DRL,5,5.725870848
Human,10,1,3,16,Visual,DRL,5,5.773753881
Human,10,1,3,17,Visual,DRL,5,5.689514875
Human,10,1,3,18,Visual,DRL,5,5.717056036
Human,10,1,3,19,Visual,DRL,5,5.735244989
Human,10,1,3,20,Visual,DRL,5,5.687519073
Human,10,1,3,21,Visual,DRL,5,5.66921401
Human,10,1,3,22,Visual,DRL,5,5.738992214
Human,10,1,3,23,Visual,DRL,5,5.72249198
Human,10,1,3,24,Visual,DRL,5,5.66851306
Human,10,1,3,25,Visual,DRL,5,5.757215977
Human,10,1,3,26,Visual,DRL,5,5.682823896
Human,10,1,3,27,Visual,DRL,5,5.580803156
Human,10,1,3,28,Visual,DRL,5,5.603713036
Human,10,1,3,29,Visual,DRL,5,5.665585041
Human,10,1,3,30,Visual,DRL,5,5.621652842
Human,10,1,3,31,Visual,DRL,5,5.274312973
Human,10,1,3,32,Visual,DRL,5,4.983954906
Human,10,1,3,33,Visual,DRL,5,5.662425041
Human,10,1,3,34,Visual,DRL,5,5.58278513
Human,10,1,3,35,Visual,DRL,5,5.596414089
Human,10,1,3,36,Visual,DRL,5,5.656754971
Human,10,1,3,37,Visual,DRL,5,5.306344032
Human,10,1,3,38,Visual,DRL,5,5.003313065
Human,10,1,3,39,Visual,DRL,5,5.723249912
Human,10,1,3,40,Visual,DRL,5,5.668931007
Human,10,1,3,41,Visual,DRL,5,5.627537966
Human,10,1,3,42,Visual,DRL,5,5.672178984
Human,10,1,3,43,Visual,DRL,5,5.361336946
Human,10,1,3,44,Visual,DRL,5,5.25131011
Human,10,1,3,45,Visual,DRL,5,5.586152077
Human,10,1,3,46,Visual,DRL,5,5.785694122
Human,10,1,3,47,Visual,DRL,5,5.469570875
Human,10,1,3,48,Visual,DRL,5,5.649847031
Human,10,1,3,49,Visual,DRL,5,5.461900949
Human,10,1,3,50,Visual,DRL,5,5.140033007
Human,10,1,3,51,Visual,DRL,5,5.677477837
Human,10,1,4,1,Visual,DRL,5,6.937703848
Human,10,1,4,2,Visual,DRL,5,5.532638073
Human,10,1,4,3,Visual,DRL,5,5.657052994
Human,10,1,4,4,Visual,DRL,5,5.688472986
Human,10,1,4,5,Visual,DRL,5,6.016644001
Human,10,1,4,6,Visual,DRL,5,5.425623894
Human,10,1,4,7,Visual,DRL,5,5.292271852
Human,10,1,4,8,Visual,DRL,5,5.940986872
Human,10,1,4,9,Visual,DRL,5,5.66335392
Human,10,1,4,10,Visual,DRL,5,5.534647942
Human,10,1,4,11,Visual,DRL,5,5.810719013
Human,10,1,4,12,Visual,DRL,5,5.55082798
Human,10,1,4,13,Visual,DRL,5,5.588360071
Human,10,1,4,14,Visual,DRL,5,5.745364904
Human,10,1,4,15,Visual,DRL,5,5.452190161
Human,10,1,4,16,Visual,DRL,5,5.674999952
Human,10,1,4,17,Visual,DRL,5,5.404808998
Human,10,1,4,18,Visual,DRL,5,4.551831007
Human,10,1,4,19,Visual,DRL,5,5.261374235
Human,10,1,4,20,Visual,DRL,5,5.516973972
Human,10,1,4,21,Visual,DRL,5,5.719323874
Human,10,1,4,22,Visual,DRL,5,5.453941107
Human,10,1,4,23,Visual,DRL,5,5.755367994
Human,10,1,4,24,Visual,DRL,5,5.647328138
Human,10,1,4,25,Visual,DRL,5,4.720226049
Human,10,1,4,26,Visual,DRL,5,11.55718398
Human,10,1,4,27,Visual,DRL,5,6.146167994
Human,10,1,4,28,Visual,DRL,5,6.100530148
Human,10,1,4,29,Visual,DRL,5,5.105110884
Human,10,1,4,30,Visual,DRL,5,5.551924944
Human,10,1,4,31,Visual,DRL,5,5.771797895
Human,10,1,4,32,Visual,DRL,5,5.870160103
Human,10,1,4,33,Visual,DRL,5,6.160880089
Human,10,1,4,34,Visual,DRL,5,4.917211056
Human,10,1,4,35,Visual,DRL,5,7.826476812
Human,10,1,4,36,Visual,DRL,5,6.255363941
Human,10,1,4,37,Visual,DRL,5,7.028032064
Human,10,1,4,38,Visual,DRL,5,7.576369047
Human,10,1,4,39,Visual,DRL,5,7.495790958
Human,10,1,4,40,Visual,DRL,5,9.224208832
Human,10,1,4,41,Visual,DRL,5,9.567241907
Human,10,1,4,42,Visual,DRL,5,9.068220139
Human,10,1,4,43,Visual,DRL,5,8.067751169
Human,10,1,4,44,Visual,DRL,5,11.2497189
Human,10,1,4,45,Visual,DRL,5,10.3050561
Human,10,1,5,1,Visual,DRL,5,0.20906496
Human,10,1,5,2,Visual,DRL,5,8.226592064
Human,10,1,5,3,Visual,DRL,5,8.886954069
Human,10,1,5,4,Visual,DRL,5,9.573545933
Human,10,1,5,5,Visual,DRL,5,9.67861104
Human,10,1,5,6,Visual,DRL,5,11.08234
Human,10,1,5,7,Visual,DRL,5,9.784070015
Human,10,1,5,8,Visual,DRL,5,14.25528598
Human,10,1,5,9,Visual,DRL,5,11.38382006
Human,10,1,5,10,Visual,DRL,5,9.721024036
Human,10,1,5,11,Visual,DRL,5,8.609055042
Human,10,1,5,12,Visual,DRL,5,9.921468973
Human,10,1,5,13,Visual,DRL,5,9.413875818
Human,10,1,5,14,Visual,DRL,5,8.705352068
Human,10,1,5,15,Visual,DRL,5,12.25775194
Human,10,1,5,16,Visual,DRL,5,12.321208
Human,10,1,5,17,Visual,DRL,5,13.18704414
Human,10,1,5,18,Visual,DRL,5,12.57583904
Human,10,1,5,19,Visual,DRL,5,11.96084905
Human,10,1,5,20,Visual,DRL,5,12.58871794
Human,10,1,5,21,Visual,DRL,5,14.35437608
Human,10,1,5,22,Visual,DRL,5,15.04753399
Human,10,1,5,23,Visual,DRL,5,14.80644798
Human,10,1,5,24,Visual,DRL,5,12.48419905
Human,10,1,5,25,Visual,DRL,5,12.84977913
Human,10,1,5,26,Visual,DRL,5,11.51202917
Human,10,1,5,27,Visual,DRL,5,15.12785888
Human,10,1,6,28,Visual,DRL,5,11.33239007
Human,10,1,6,29,Visual,DRL,5,11.75881886
Human,10,1,6,30,Visual,DRL,5,9.831882
Human,10,1,6,31,Visual,DRL,5,9.135818005
Human,10,1,6,32,Visual,DRL,5,10.78506899
Human,10,1,6,33,Visual,DRL,5,11.22698998
Human,10,1,6,34,Visual,DRL,5,10.28973413
Human,10,1,6,35,Visual,DRL,5,10.71054602
Human,10,1,6,36,Visual,DRL,5,10.50077605
Human,10,1,6,37,Visual,DRL,5,14.98400807
Human,10,1,6,38,Visual,DRL,5,14.43426704
Human,10,1,6,39,Visual,DRL,5,10.24900293
Human,10,1,6,40,Visual,DRL,5,11.05674314
Human,10,1,6,41,Visual,DRL,5,11.32208705
Human,10,1,6,42,Visual,DRL,5,11.27982092
Human,10,1,6,43,Visual,DRL,5,12.749228
Human,10,1,6,44,Visual,DRL,5,12.12168407
Human,10,1,6,45,Visual,DRL,5,12.85299516
Human,10,1,6,46,Visual,DRL,5,10.6052351
Human,10,1,6,47,Visual,DRL,5,11.91531301
Human,10,1,6,48,Visual,DRL,5,10.687608
Human,10,1,6,49,Visual,DRL,5,12.20270991
Human,10,1,6,50,Visual,DRL,5,13.26774502
Human,10,1,6,51,Visual,DRL,5,13.24161315
Human,10,1,6,52,Visual,DRL,5,12.37356591
Human,11,1,1,1,Visual,DRL,5,4.925966024
Human,11,1,1,2,Visual,DRL,5,5.975707054
Human,11,1,1,3,Visual,DRL,5,6.130984068
Human,11,1,1,4,Visual,DRL,5,5.379346132
Human,11,1,1,5,Visual,DRL,5,5.602128983
Human,11,1,1,6,Visual,DRL,5,4.772158146
Human,11,1,1,7,Visual,DRL,5,6.557080984
Human,11,1,1,8,Visual,DRL,5,5.057768106
Human,11,1,1,9,Visual,DRL,5,5.057412148
Human,11,1,1,10,Visual,DRL,5,4.755112171
Human,11,1,1,11,Visual,DRL,5,5.440486193
Human,11,1,1,12,Visual,DRL,5,4.579216957
Human,11,1,1,13,Visual,DRL,5,5.494730949
Human,11,1,1,14,Visual,DRL,5,4.645015001
Human,11,1,1,15,Visual,DRL,5,5.250586987
