Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset,Drug_Type
Rat,1,1,1,1,Visual,FI,12,12,28.7752,29.411175,Saline
Rat,1,1,1,2,Visual,FI,12,12,32.827075,34.122025,Saline
Rat,1,1,1,3,Visual,FI,12,12,39.71785,40.408825,Saline
Rat,1,1,1,4,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,5,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,6,Visual,FI,12,12,26.549225,27.6822,Saline
Rat,1,1,1,7,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,8,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,9,Visual,FI,12,12,37.48695,37.736925,Saline
Rat,1,1,1,10,Visual,FI,12,12,40.121825,40.378825,Saline
Rat,1,1,1,11,Visual,FI,12,12,12.200675,12.63265,Saline
Rat,1,1,1,12,Visual,FI,12,12,19.3294,20.423375,Saline
Rat,1,1,1,13,Visual,FI,12,12,64.43215,65.427125,Saline
Rat,1,1,1,14,Visual,FI,12,12,16.775525,17.0925,Saline
Rat,1,1,1,15,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,16,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,17,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,18,Visual,FI,12,12,NaN,27.0132,Saline
Rat,1,1,1,19,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,20,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,21,Visual,FI,12,12,24.158325,25.0803,Saline
Rat,1,1,1,22,Visual,FI,12,12,21.86735,30.574075,Saline
Rat,1,1,1,23,Visual,FI,12,12,16.72355,23.05335,Saline
Rat,1,1,1,24,Visual,FI,12,12,59.8323,0,Saline
Rat,1,1,1,25,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,26,Visual,FI,12,12,45.2057,45.5127,Saline
Rat,1,1,1,27,Visual,FI,12,12,15.274575,19.92145,Saline
Rat,1,1,1,28,Visual,FI,12,12,25.592275,25.91025,Saline
Rat,1,1,1,29,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,30,Visual,FI,12,12,14.9546,17.0075,Saline
Rat,1,1,1,31,Visual,FI,12,12,12.3856,13.4946,Saline
Rat,1,1,1,32,Visual,FI,12,12,13.347625,14.611575,Saline
Rat,1,1,1,33,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,34,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,35,Visual,FI,12,12,23.532375,28.954225,Saline
Rat,1,1,1,36,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,37,Visual,FI,12,12,16.900525,23.388325,Saline
Rat,1,1,1,38,Visual,FI,12,12,17.147475,0,Saline
Rat,1,1,1,39,Visual,FI,12,12,26.68925,NaN,Saline
Rat,1,1,1,40,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,41,Visual,FI,12,12,19.613425,20.8464,Saline
Rat,1,1,1,42,Visual,FI,12,12,22.0284,22.826375,Saline
Rat,1,1,1,43,Visual,FI,12,12,29.2502,30.05915,Saline
Rat,1,1,1,44,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,45,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,46,Visual,FI,12,12,16.0196,16.499575,Saline
Rat,1,1,1,47,Visual,FI,12,12,16.9845,18.909425,Saline
Rat,1,1,1,48,Visual,FI,12,12,24.19835,27.893225,Saline
Rat,1,1,1,49,Visual,FI,12,12,85.197575,85.63555,Saline
Rat,1,1,1,50,Visual,FI,12,12,15.377525,16.2225,Saline
Rat,1,1,1,51,Visual,FI,12,12,165.510225,165.8822,Saline
Rat,1,1,1,52,Visual,FI,12,12,15.34155,15.48555,Saline
Rat,1,1,1,53,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,54,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,55,Visual,FI,12,12,20.154475,24.2113,Saline
Rat,1,1,1,56,Visual,FI,12,12,25.3433,0,Saline
Rat,1,1,1,57,Visual,FI,12,12,98.921175,NaN,Saline
Rat,1,1,1,58,Visual,FI,12,12,12.482625,13.6756,Saline
Rat,1,1,1,59,Visual,FI,12,12,56.1804,59.555275,Saline
Rat,1,1,1,60,Visual,FI,12,12,NaN,1.621925,Saline
Rat,1,1,1,61,Visual,FI,12,12,14.679575,NaN,Saline
Rat,1,1,1,62,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,63,Visual,FI,12,12,NaN,NaN,Saline
Rat,1,1,1,64,Visual,FI,12,12,81.71365,82.098625,Saline
Rat,1,1,1,1,Visual,FI,12,12,NaN,NaN,SCH
Rat,1,1,1,2,Visual,FI,12,12,NaN,NaN,SCH
Rat,1,1,1,3,Visual,FI,12,12,18.825475,19.18345,SCH
Rat,1,1,1,4,Visual,FI,12,12,35.524975,35.89995,SCH
Rat,1,1,1,5,Visual,FI,12,12,43.432725,45.249675,SCH
Rat,1,1,1,6,Visual,FI,12,12,39.44085,40.5498,SCH
Rat,1,1,1,7,Visual,FI,12,12,26.9062,32.389025,SCH
Rat,1,1,1,8,Visual,FI,12,12,20.4334,23.286325,SCH
Rat,1,1,1,9,Visual,FI,12,12,NaN,NaN,SCH
Rat,1,1,1,10,Visual,FI,12,12,NaN,NaN,SCH
Rat,1,1,1,11,Visual,FI,12,12,25.856225,29.005125,SCH
Rat,1,1,1,12,Visual,FI,12,12,25.1463,26.01125,SCH
Rat,1,1,1,13,Visual,FI,12,12,29.418125,30.393075,SCH
Rat,1,1,1,14,Visual,FI,12,12,NaN,NaN,SCH
Rat,1,1,1,15,Visual,FI,12,12,33.772,35.17795,SCH
Rat,1,1,1,16,Visual,FI,12,12,NaN,NaN,SCH
Rat,1,1,1,17,Visual,FI,12,12,81.307625,NaN,SCH
Rat,1,1,1,18,Visual,FI,12,12,51.348525,0,SCH
Rat,1,1,1,19,Visual,FI,12,12,16.6815,NaN,SCH
Rat,1,1,1,20,Visual,FI,12,12,44.31975,45.3627,SCH
Rat,1,1,1,21,Visual,FI,12,12,36.088975,36.764925,SCH
Rat,1,1,1,22,Visual,FI,12,12,13.04965,17.2555,SCH
Rat,1,1,1,23,Visual,FI,12,12,90.40735,90.984325,SCH
Rat,1,1,1,24,Visual,FI,12,12,409.799975,410.09895,SCH
Rat,1,1,1,25,Visual,FI,12,12,20.7924,21.80935,SCH
Rat,1,1,1,26,Visual,FI,12,12,24.85825,0,SCH
Rat,1,1,1,27,Visual,FI,12,12,36.975925,NaN,SCH
Rat,1,1,1,28,Visual,FI,12,12,13.6286,14.14955,SCH
Rat,1,1,1,29,Visual,FI,12,12,26.564225,27.387175,SCH
Rat,1,1,1,30,Visual,FI,12,12,0,0,SCH
