Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_set,Standard,Comparison,Order,Response,RT
Human,1,1,1,1,Visual,OTHER,0.3;0.6;1.2;2.4,2.4,3.832,SC,S,0.844726774
Human,1,1,1,2,Visual,OTHER,0.3;0.6;1.2;2.4,2.4,3.95175,SC,S,1.053178372
Human,1,1,1,3,Visual,OTHER,0.3;0.6;1.2;2.4,1.2,0.702941176,SC,L,2.823458322
Human,1,1,1,4,Visual,OTHER,0.3;0.6;1.2;2.4,1.2,0.682857143,SC,L,1.536810397
Human,1,1,1,5,Visual,OTHER,0.3;0.6;1.2;2.4,2.4,1.330555556,SC,L,1.724587293
Human,1,1,1,6,Visual,OTHER,0.3;0.6;1.2;2.4,1.2,2.21075,SC,S,1.091092054
Human,1,1,1,7,Visual,OTHER,0.3;0.6;1.2;2.4,0.3,0.155263158,SC,L,1.227687804
Human,1,1,1,8,Visual,OTHER,0.3;0.6;1.2;2.4,0.3,0.151282051,SC,L,1.471755961
Human,1,1,1,9,Visual,OTHER,0.3;0.6;1.2;2.4,1.2,0.5975,SC,L,1.622092183
Human,1,1,1,10,Visual,OTHER,0.3;0.6;1.2;2.4,0.3,0.60475,SC,S,1.111515008
Human,1,1,1,11,Visual,OTHER,0.3;0.6;1.2;2.4,0.6,1.2495,SC,S,1.49062134
Human,1,1,1,12,Visual,OTHER,0.3;0.6;1.2;2.4,0.6,0.276744186,SC,L,1.096043091
Human,1,1,1,13,Visual,OTHER,0.3;0.6;1.2;2.4,0.6,0.270454545,SC,S,1.006413375
Human,1,1,1,14,Visual,OTHER,0.3;0.6;1.2;2.4,1.2,2.629,SC,S,0.569159067
Human,1,1,1,15,Visual,OTHER,0.3;0.6;1.2;2.4,0.3,0.66375,SC,S,1.283644609
Human,1,1,1,16,Visual,OTHER,0.3;0.6;1.2;2.4,2.4,5.5085,SC,L,2.962445976
Human,1,1,1,17,Visual,OTHER,0.3;0.6;1.2;2.4,1.2,2.7485,SC,L,1.241581317
Human,1,1,1,18,Visual,OTHER,0.3;0.6;1.2;2.4,1.2,2.7485,SC,L,1.164866195
Human,1,1,1,19,Visual,OTHER,0.3;0.6;1.2;2.4,2.4,5.38875,SC,L,0.809521342
Human,1,1,1,20,Visual,OTHER,0.3;0.6;1.2;2.4,2.4,5.38875,SC,L,0.546395523
Human,1,1,1,21,Visual,OTHER,0.3;0.6;1.2;2.4,2.4,1.064444444,SC,S,1.21817633
Human,1,1,1,22,Visual,OTHER,0.3;0.6;1.2;2.4,0.6,0.270454545,SC,S,1.876168971
Human,1,1,1,23,Visual,OTHER,0.3;0.6;1.2;2.4,0.3,0.649,SC,L,1.041169948
Human,1,1,1,24,Visual,OTHER,0.3;0.6;1.2;2.4,2.4,5.269,SC,L,0.599700526
Human,1,1,1,25,Visual,OTHER,0.3;0.6;1.2;2.4,0.6,1.27925,SC,L,0.500884133
Human,1,1,1,26,Visual,OTHER,0.3;0.6;1.2;2.4,0.3,0.63425,SC,S,1.345066815
Human,1,1,1,27,Visual,OTHER,0.3;0.6;1.2;2.4,2.4,1.088636364,SC,S,1.290692337
Human,1,1,1,28,Visual,OTHER,0.3;0.6;1.2;2.4,2.4,1.088636364,SC,S,1.371660002
Human,1,1,1,29,Visual,OTHER,0.3;0.6;1.2;2.4,0.6,0.270454545,SC,L,1.01905962
Human,1,1,1,30,Visual,OTHER,0.3;0.6;1.2;2.4,0.3,0.66375,SC,S,0.815190494
Human,1,1,1,31,Visual,OTHER,0.3;0.6;1.2;2.4,0.6,1.3685,SC,L,0.771360742
