Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,version
Human,1,1,motor,17,Visual,TE,1;1.5;2;2.5;3;3.5;4,2.5,2.193,Calibrated
Human,1,1,motor,18,Visual,TE,1;1.5;2;2.5;3;3.5;4,2.5,2.557,Calibrated
Human,1,1,motor,19,Visual,TE,1;1.5;2;2.5;3;3.5;4,3,1.924,Calibrated
Human,1,1,motor,20,Visual,TE,1;1.5;2;2.5;3;3.5;4,3.5,2.861,Calibrated
Human,1,1,motor,21,Visual,TE,1;1.5;2;2.5;3;3.5;4,1,1.119,Calibrated
Human,1,1,motor,22,Visual,TE,1;1.5;2;2.5;3;3.5;4,2,1.789,Calibrated
Human,1,1,motor,23,Visual,TE,1;1.5;2;2.5;3;3.5;4,1,1.206,Calibrated
Human,1,1,motor,24,Visual,TE,1;1.5;2;2.5;3;3.5;4,2,1.301,Calibrated
Human,1,1,motor,25,Visual,TE,1;1.5;2;2.5;3;3.5;4,2.5,2.411,Calibrated
Human,1,1,motor,26,Visual,TE,1;1.5;2;2.5;3;3.5;4,3,2.702,Calibrated
Human,1,1,motor,27,Visual,TE,1;1.5;2;2.5;3;3.5;4,2,2.216,Calibrated
Human,1,1,motor,28,Visual,TE,1;1.5;2;2.5;3;3.5;4,2.5,2.295,Calibrated
Human,1,1,motor,29,Visual,TE,1;1.5;2;2.5;3;3.5;4,1.5,1.327,Calibrated
Human,1,1,motor,30,Visual,TE,1;1.5;2;2.5;3;3.5;4,3,1.539,Calibrated
Human,1,1,motor,31,Visual,TE,1;1.5;2;2.5;3;3.5;4,2.5,3.025,Calibrated
Human,1,1,motor,32,Visual,TE,1;1.5;2;2.5;3;3.5;4,3.5,1.981,Calibrated
Human,1,1,motor,33,Visual,TE,1;1.5;2;2.5;3;3.5;4,4,3.07,Calibrated
Human,1,1,motor,34,Visual,TE,1;1.5;2;2.5;3;3.5;4,3,2.293,Calibrated
Human,1,1,motor,35,Visual,TE,1;1.5;2;2.5;3;3.5;4,2.5,2.116,Calibrated
Human,1,1,motor,36,Visual,TE,1;1.5;2;2.5;3;3.5;4,4,3.363,Calibrated
Human,1,1,motor,37,Visual,TE,1;1.5;2;2.5;3;3.5;4,1.5,1.636,Calibrated
Human,1,1,motor,38,Visual,TE,1;1.5;2;2.5;3;3.5;4,4,3.563,Calibrated
Human,1,1,motor,39,Visual,TE,1;1.5;2;2.5;3;3.5;4,3,2.319,Calibrated
Human,1,1,motor,40,Visual,TE,1;1.5;2;2.5;3;3.5;4,2,1.981,Calibrated
Human,1,1,motor,41,Visual,TE,1;1.5;2;2.5;3;3.5;4,4,3.062,Calibrated
Human,1,1,motor,42,Visual,TE,1;1.5;2;2.5;3;3.5;4,1.5,1.811,Calibrated
Human,1,1,motor,43,Visual,TE,1;1.5;2;2.5;3;3.5;4,1,1.064,Calibrated
Human,1,1,motor,44,Visual,TE,1;1.5;2;2.5;3;3.5;4,3,2.018,Calibrated
Human,1,1,motor,45,Visual,TE,1;1.5;2;2.5;3;3.5;4,3.5,3.169,Calibrated
Human,1,1,motor,46,Visual,TE,1;1.5;2;2.5;3;3.5;4,4,3.243,Calibrated
Human,1,1,motor,47,Visual,TE,1;1.5;2;2.5;3;3.5;4,1,0.921,Calibrated
Human,1,1,motor,48,Visual,TE,1;1.5;2;2.5;3;3.5;4,1,1.008,Calibrated
Human,1,1,motor,49,Visual,TE,1;1.5;2;2.5;3;3.5;4,1.5,1.577,Calibrated
Human,1,1,motor,50,Visual,TE,1;1.5;2;2.5;3;3.5;4,2,2.206,Calibrated
Human,1,1,motor,51,Visual,TE,1;1.5;2;2.5;3;3.5;4,1,1.348,Calibrated
