Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,streamDur,Response,versionName,repGoal
Human,1,1,Line,13,Visual,TE,5,5,6.79,6.75,5.326353529,Calibrated,Target
Human,1,1,Line,13,Visual,TE,6.75,5,8.17,6.75,5.326353529,Calibrated,Stream
Human,1,1,Line,14,Visual,TE,3,3,2.16,5.25,7.421837681,Calibrated,Target
Human,1,1,Line,14,Visual,TE,5.25,3,4.29,5.25,7.421837681,Calibrated,Stream
Human,1,1,Line,15,Visual,TE,2,2,2.31,6.75,8.023945189,Calibrated,Target
Human,1,1,Line,15,Visual,TE,6.75,2,6.34,6.75,8.023945189,Calibrated,Stream
Human,1,1,Line,16,Visual,TE,2.5,2.5,2.57,6.75,5.522834052,Calibrated,Target
Human,1,1,Line,16,Visual,TE,6.75,2.5,6.77,6.75,5.522834052,Calibrated,Stream
Human,1,1,Line,17,Visual,TE,3,3,3.93,6.75,6.955032944,Calibrated,Target
Human,1,1,Line,17,Visual,TE,6.75,3,7.6,6.75,6.955032944,Calibrated,Stream
Human,1,1,Line,18,Visual,TE,4.5,4.5,5.48,5.75,7.044678872,Calibrated,Target
Human,1,1,Line,18,Visual,TE,5.75,4.5,6.52,5.75,7.044678872,Calibrated,Stream
Human,1,1,Line,19,Visual,TE,4.5,4.5,4.9,5.75,6.26418327,Calibrated,Target
Human,1,1,Line,19,Visual,TE,5.75,4.5,6,5.75,6.26418327,Calibrated,Stream
Human,1,1,Line,20,Visual,TE,1.5,1.5,1.2,4.75,10.81627934,Calibrated,Target
Human,1,1,Line,20,Visual,TE,4.75,1.5,3.26,4.75,10.81627934,Calibrated,Stream
Human,1,1,Line,21,Visual,TE,2.5,2.5,1.89,5.25,6.512294699,Calibrated,Target
Human,1,1,Line,21,Visual,TE,5.25,2.5,4.57,5.25,6.512294699,Calibrated,Stream
Human,1,1,Line,22,Visual,TE,3.5,3.5,4.5,7.25,7.073223116,Calibrated,Target
Human,1,1,Line,22,Visual,TE,7.25,3.5,7.8,7.25,7.073223116,Calibrated,Stream
Human,1,1,Line,23,Visual,TE,2,2,1.45,4.75,8.639944177,Calibrated,Target
Human,1,1,Line,23,Visual,TE,4.75,2,3.26,4.75,8.639944177,Calibrated,Stream
Human,1,1,Line,24,Visual,TE,1,1,1.7,6.75,6.327723659,Calibrated,Target
Human,1,1,Line,24,Visual,TE,6.75,1,7.24,6.75,6.327723659,Calibrated,Stream
Human,1,1,Line,25,Visual,TE,2,2,1.59,5.75,7.373329189,Calibrated,Target
Human,1,1,Line,25,Visual,TE,5.75,2,5.37,5.75,7.373329189,Calibrated,Stream
Human,1,1,Line,26,Visual,TE,4,4,4.34,5.75,6.642978448,Calibrated,Target
Human,1,1,Line,26,Visual,TE,5.75,4,5.57,5.75,6.642978448,Calibrated,Stream
Human,1,1,Line,27,Visual,TE,2,2,3.03,6.25,7.11141412,Calibrated,Target
Human,1,1,Line,27,Visual,TE,6.25,2,4.93,6.25,7.11141412,Calibrated,Stream
Human,1,1,Line,28,Visual,TE,2,2,2.94,7.25,7.840810991,Calibrated,Target
Human,1,1,Line,28,Visual,TE,7.25,2,6.88,7.25,7.840810991,Calibrated,Stream
Human,1,1,Line,29,Visual,TE,3,3,5.66,4.75,5.443938778,Calibrated,Target
Human,1,1,Line,29,Visual,TE,4.75,3,7.24,4.75,5.443938778,Calibrated,Stream
Human,1,1,Line,30,Visual,TE,2.5,2.5,3.34,6.75,6.092294168,Calibrated,Target
Human,1,1,Line,30,Visual,TE,6.75,2.5,6.25,6.75,6.092294168,Calibrated,Stream
Human,1,1,Line,31,Visual,TE,4,4,5.03,5.25,4.812953473,Calibrated,Target
Human,1,1,Line,31,Visual,TE,5.25,4,6.18,5.25,4.812953473,Calibrated,Stream
