Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,VideoType
Human,1,1,1,1,Audiovisual,TE,12,12,15.3,Office and cafe
Human,1,1,1,2,Audiovisual,TE,16,16,10,Office and cafe
Human,1,1,1,3,Audiovisual,TE,4,4,5.3,Office and cafe
Human,1,1,1,4,Audiovisual,TE,3,3,4,Office and cafe
Human,1,1,1,5,Audiovisual,TE,4,4,4,Campus and outside
Human,1,1,1,6,Audiovisual,TE,6,6,8.4,Office and cafe
Human,1,1,1,7,Audiovisual,TE,24,24,23.3,City
Human,1,1,1,8,Audiovisual,TE,48,48,60,City
Human,1,1,1,9,Audiovisual,TE,3,3,3.1,Office and cafe
Human,1,1,1,10,Audiovisual,TE,4,4,6,Campus and outside
Human,1,1,1,11,Audiovisual,TE,3,3,4.2,Office and cafe
Human,1,1,1,12,Audiovisual,TE,12,12,9,Office and cafe
Human,1,1,1,13,Audiovisual,TE,1.5,1.5,3,City
Human,1,1,1,14,Audiovisual,TE,4,4,7.5,Office and cafe
Human,1,1,1,15,Audiovisual,TE,6,6,7.6,Office and cafe
Human,1,1,1,16,Audiovisual,TE,24,24,20.7,Campus and outside
Human,1,1,1,17,Audiovisual,TE,64,64,70.1,Office and cafe
Human,1,1,1,18,Audiovisual,TE,64,64,45.1,Office and cafe
Human,1,1,1,19,Audiovisual,TE,48,48,50.1,City
Human,1,1,1,20,Audiovisual,TE,12,12,14.9,City
Human,1,1,1,21,Audiovisual,TE,16,16,20.1,Campus and outside
Human,1,1,1,22,Audiovisual,TE,64,64,39.7,Office and cafe
Human,1,1,1,23,Audiovisual,TE,16,16,16.8,City
Human,1,1,1,24,Audiovisual,TE,12,12,18,Office and cafe
Human,1,1,1,25,Audiovisual,TE,2,2,3.6,Campus and outside
Human,1,1,1,26,Audiovisual,TE,1,1,1,Office and cafe
Human,1,1,1,27,Audiovisual,TE,4,4,6,City
Human,1,1,1,28,Audiovisual,TE,8,8,8.4,City
Human,1,1,1,29,Audiovisual,TE,32,32,24.8,City
Human,1,1,1,30,Audiovisual,TE,32,32,35.3,Campus and outside
Human,1,1,1,31,Audiovisual,TE,32,32,20.4,Office and cafe
Human,1,1,1,32,Audiovisual,TE,8,8,10,Office and cafe
Human,1,1,1,33,Audiovisual,TE,1.5,1.5,2,Office and cafe
Human,1,1,1,34,Audiovisual,TE,12,12,9.9,City
Human,1,1,1,35,Audiovisual,TE,32,32,21,Office and cafe
Human,1,1,1,36,Audiovisual,TE,24,24,13.1,City
Human,1,1,1,37,Audiovisual,TE,4,4,9.2,City
Human,1,1,1,38,Audiovisual,TE,1,1,1.1,City
Human,1,1,1,39,Audiovisual,TE,16,16,16.8,Office and cafe
Human,1,1,1,40,Audiovisual,TE,24,24,20,City
Human,1,1,1,41,Audiovisual,TE,32,32,20.4,Campus and outside
Human,1,1,1,42,Audiovisual,TE,48,48,30,Office and cafe
Human,1,1,1,43,Audiovisual,TE,64,64,25.3,Campus and outside
Human,1,1,1,44,Audiovisual,TE,12,12,15.1,Office and cafe
Human,1,1,1,45,Audiovisual,TE,6,6,8.3,Office and cafe
Human,1,1,1,46,Audiovisual,TE,2,2,3.3,City
Human,1,1,1,47,Audiovisual,TE,4,4,5,Office and cafe
Human,1,1,1,48,Audiovisual,TE,3,3,4.3,Campus and outside
Human,1,1,1,49,Audiovisual,TE,4,4,5,City
Human,1,1,1,50,Audiovisual,TE,64,64,30,Office and cafe
Human,1,1,1,51,Audiovisual,TE,1,1,2,Campus and outside
Human,1,1,1,52,Audiovisual,TE,24,24,20,Office and cafe
Human,1,1,1,53,Audiovisual,TE,64,64,39,Campus and outside
Human,1,1,1,54,Audiovisual,TE,1,1,2.6,Campus and outside
Human,1,1,1,55,Audiovisual,TE,2,2,3.4,Office and cafe
Human,1,1,1,56,Audiovisual,TE,24,24,16.2,Campus and outside
Human,1,1,1,57,Audiovisual,TE,4,4,3,Office and cafe
