Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Choice,Reaction_Time,First_Stim,Condition
Human,111,1,1,1,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.807,Low_Tone,1
Human,111,1,1,2,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.847,High_Tone,1
Human,111,1,1,3,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,2.29,Low_Tone,1
Human,111,1,1,4,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.291,High_Tone,1
Human,111,1,1,5,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,1.436,High_Tone,1
Human,111,1,1,6,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.323,High_Tone,1
Human,111,1,1,7,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.195,High_Tone,1
Human,111,1,1,8,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.01,High_Tone,1
Human,111,1,1,9,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,2.744,Low_Tone,1
Human,111,1,1,10,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.042,Low_Tone,1
Human,111,1,1,11,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.825,Low_Tone,1
Human,111,1,1,12,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,2.282,High_Tone,1
Human,111,1,1,13,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.144,Low_Tone,1
Human,111,1,1,14,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.621,High_Tone,1
Human,111,1,1,15,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.785,High_Tone,1
Human,111,1,1,16,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.035,Low_Tone,1
Human,111,1,1,17,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.429,Low_Tone,1
Human,111,1,1,18,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,1.149,High_Tone,1
Human,111,1,1,19,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,1.057,High_Tone,1
Human,111,1,1,20,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.079,High_Tone,1
Human,111,1,1,21,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.138,High_Tone,1
Human,111,1,1,22,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.852,Low_Tone,1
Human,111,1,1,23,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.779,Low_Tone,1
Human,111,1,1,24,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.117,Low_Tone,1
Human,111,1,1,25,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.005,High_Tone,1
Human,111,1,1,26,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.296,Low_Tone,1
Human,111,1,1,27,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.474,High_Tone,1
Human,111,1,1,28,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.567,Low_Tone,1
Human,111,1,1,29,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.29,High_Tone,1
Human,111,1,1,30,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.432,Low_Tone,1
Human,111,1,1,31,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,1.362,Low_Tone,1
Human,111,1,1,32,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.808,Low_Tone,1
Human,111,1,1,33,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.816,Low_Tone,1
Human,111,1,1,34,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.082,High_Tone,1
Human,111,1,1,35,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.239,Low_Tone,1
Human,111,1,1,36,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.252,Low_Tone,1
Human,111,1,1,37,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.668,High_Tone,1
Human,111,1,1,38,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.021,Low_Tone,1
Human,111,1,1,39,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,2.191,High_Tone,1
Human,111,1,1,40,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,2,0.936,Low_Tone,1
Human,111,1,1,41,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.087,High_Tone,1
Human,111,1,1,42,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.02,High_Tone,1
Human,111,1,1,43,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,6.004,High_Tone,2
Human,111,1,1,44,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.766,High_Tone,2
Human,111,1,1,45,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,2,0.002,Low_Tone,2
Human,111,1,1,46,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,2.162,High_Tone,2
Human,111,1,1,47,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.175,Low_Tone,2
Human,111,1,1,48,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.622,Low_Tone,2
Human,111,1,1,49,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.352,Low_Tone,2
Human,111,1,1,50,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.028,High_Tone,2
Human,111,1,1,51,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.674,High_Tone,2
Human,111,1,1,52,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.023,Low_Tone,2
Human,111,1,1,53,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.014,Low_Tone,2
Human,111,1,1,54,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.539,Low_Tone,2
Human,111,1,1,55,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.12,High_Tone,2
Human,111,1,1,56,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.451,High_Tone,2
Human,111,1,1,57,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.087,High_Tone,2
Human,111,1,1,58,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.065,High_Tone,2
Human,111,1,1,59,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.987,Low_Tone,2
Human,111,1,1,60,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.256,Low_Tone,2
Human,111,1,1,61,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.502,Low_Tone,2
Human,111,1,1,62,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.952,High_Tone,2
Human,111,1,1,63,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.226,Low_Tone,2
Human,111,1,1,64,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.319,High_Tone,2
Human,111,1,1,65,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.078,High_Tone,2
Human,111,1,1,66,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.074,Low_Tone,2
Human,111,1,1,67,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.093,Low_Tone,2
Human,111,1,1,68,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.523,High_Tone,2
Human,111,1,1,69,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.476,Low_Tone,2
Human,111,1,1,70,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.024,High_Tone,2
Human,111,1,1,71,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.216,Low_Tone,2
