Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Accuracy,Reaction_Time
Human,1,1,1,1,Tactile,Training,Adaptive,Duration,0.3,Tactile,0.7,Tactile,1,1,0.816
Human,1,1,1,2,Tactile,Training,Adaptive,Duration,0.29,Tactile,0.7,Tactile,0.99,1,0.824
Human,1,1,1,3,Tactile,Training,Adaptive,Duration,0.28,Tactile,0.7,Tactile,0.98,1,0.86
Human,1,1,1,4,Tactile,Training,Adaptive,Duration,0.27,Tactile,0.7,Tactile,0.97,1,0.701
Human,1,1,1,5,Tactile,Training,Adaptive,Duration,0.26,Tactile,0.7,Tactile,0.96,1,0.967
Human,1,1,1,1,Tactile,TOJ,Adaptive,Duration,0.3,Tactile,0.7,Tactile,1,1,0.591
Human,1,1,1,2,Tactile,TOJ,Adaptive,Duration,0.285,Tactile,0.7,Tactile,0.985,1,0.731
Human,1,1,1,3,Tactile,TOJ,Adaptive,Duration,0.27,Tactile,0.7,Tactile,0.97,1,0.703
Human,1,1,1,4,Tactile,TOJ,Adaptive,Duration,0.255,Tactile,0.7,Tactile,0.955,1,0.851
Human,1,1,1,5,Tactile,TOJ,Adaptive,Duration,0.24,Tactile,0.7,Tactile,0.94,1,0.984
Human,1,1,1,6,Tactile,TOJ,Adaptive,Duration,0.225,Tactile,0.7,Tactile,0.925,1,0.76
Human,1,1,1,7,Tactile,TOJ,Adaptive,Duration,0.27,Tactile,0.7,Tactile,0.97,0,0.65
Human,1,1,1,8,Tactile,TOJ,Adaptive,Duration,0.255,Tactile,0.955,Tactile,0.7,0,0.777
Human,1,1,1,9,Tactile,TOJ,Adaptive,Duration,0.24,Tactile,0.7,Tactile,0.94,0,0.745
Human,1,1,1,10,Tactile,TOJ,Adaptive,Duration,0.225,Tactile,0.7,Tactile,0.925,1,0.755
Human,1,1,1,11,Tactile,TOJ,Adaptive,Duration,0.21,Tactile,0.7,Tactile,0.91,1,0.83
Human,1,1,1,12,Tactile,TOJ,Adaptive,Duration,0.195,Tactile,0.7,Tactile,0.895,1,0.601
Human,1,1,1,13,Tactile,TOJ,Adaptive,Duration,0.18,Tactile,0.7,Tactile,0.88,1,0.614
Human,1,1,1,14,Tactile,TOJ,Adaptive,Duration,0.165,Tactile,0.7,Tactile,0.865,1,0.868
Human,1,1,1,15,Tactile,TOJ,Adaptive,Duration,0.15,Tactile,0.7,Tactile,0.85,1,0.575
Human,1,1,1,16,Tactile,TOJ,Adaptive,Duration,0.135,Tactile,0.7,Tactile,0.835,1,0.606
Human,1,1,1,17,Tactile,TOJ,Adaptive,Duration,0.12,Tactile,0.7,Tactile,0.82,1,0.617
Human,1,1,1,18,Tactile,TOJ,Adaptive,Duration,0.105,Tactile,0.7,Tactile,0.805,1,0.926
Human,1,1,1,19,Tactile,TOJ,Adaptive,Duration,0.09,Tactile,0.7,Tactile,0.79,1,0.748
Human,1,1,1,20,Tactile,TOJ,Adaptive,Duration,0.135,Tactile,0.835,Tactile,0.7,1,0.581
Human,1,1,1,21,Tactile,TOJ,Adaptive,Duration,0.12,Tactile,0.7,Tactile,0.82,0,0.798
Human,1,1,1,22,Tactile,TOJ,Adaptive,Duration,0.165,Tactile,0.865,Tactile,0.7,1,0.729
