Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Accuracy,Reaction_Time,Condition
Human,1,1,1,1,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,0,N/A,Filled
Human,1,1,1,2,Auditory,TOJ,Adaptive,Duration,0.345,Auditory,1.045,Auditory,0.7,1,N/A,Filled
Human,1,1,1,3,Auditory,TOJ,Adaptive,Duration,0.33,Auditory,1.03,Auditory,0.7,1,N/A,Filled
Human,1,1,1,4,Auditory,TOJ,Adaptive,Duration,0.315,Auditory,1.015,Auditory,0.7,1,N/A,Filled
Human,1,1,1,5,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,0,N/A,Filled
Human,1,1,1,6,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.7,Auditory,0.985,1,N/A,Filled
Human,1,1,1,7,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.7,Auditory,0.97,1,N/A,Filled
Human,1,1,1,8,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.7,Auditory,0.955,1,N/A,Filled
Human,1,1,1,9,Auditory,TOJ,Adaptive,Duration,0.24,Auditory,0.94,Auditory,0.7,0,N/A,Filled
Human,1,1,1,10,Auditory,TOJ,Adaptive,Duration,0.225,Auditory,0.7,Auditory,0.925,0,N/A,Filled
Human,1,1,1,11,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.97,Auditory,0.7,1,N/A,Filled
Human,1,1,1,12,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.7,Auditory,0.955,0,N/A,Filled
Human,1,1,1,13,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,0,N/A,Filled
Human,1,1,1,14,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.985,Auditory,0.7,0,N/A,Filled
Human,1,1,1,15,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.97,Auditory,0.7,1,N/A,Filled
Human,1,1,1,16,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.955,Auditory,0.7,1,N/A,Filled
